council_district,standardized_category,lat_bin_approx_100m,lon_bin_approx_100m,cluster_request_count,open_cluster_count,long_resolution_cluster_count,median_resolution_days
B,Solid Waste / Recycling,29.854,-95.241,11,1,5,14.29076388888889
H,Solid Waste / Recycling,29.833,-95.413,11,0,0,0.0035416666666666
H,Traffic Signals / Lighting,29.758,-95.347,11,1,1,1.4421296296296295
C,Water,29.766,-95.412,11,2,0,0.355775462962963
D,Traffic Signals / Lighting,29.644,-95.337,11,1,0,0.007430555555555499
F,Water,29.719,-95.608,11,0,0,0.0569328703703703
B,Solid Waste / Recycling,29.869,-95.312,11,2,4,16.946840277777778
B,Solid Waste / Recycling,29.853,-95.248,11,0,4,6.281064814814815
A,Solid Waste / Recycling,29.817,-95.519,11,2,3,3.923703703703704
I,Traffic Signals / Lighting,29.76,-95.364,11,0,0,0.3640509259259259
I,Solid Waste / Recycling,29.738,-95.294,11,1,2,12.24925925925926
G,Road / Pothole / Bridge,29.737,-95.539,11,2,1,2.148553240740741
I,Traffic Signals / Lighting,29.656,-95.264,10,1,0,0.0291319444444444
D,Traffic Signals / Lighting,29.634,-95.411,10,0,0,0.0117013888888888
K,Solid Waste / Recycling,29.63,-95.456,10,0,2,4.318709490740741
B,Road / Pothole / Bridge,29.857,-95.32,10,1,0,1.3322453703703705
C,Road / Pothole / Bridge,29.734,-95.411,10,1,1,1.2101851851851853
D,Solid Waste / Recycling,29.636,-95.316,10,0,5,9.914288194444445
C,Solid Waste / Recycling,29.729,-95.406,10,1,3,20.45689236111111
D,Solid Waste / Recycling,29.636,-95.317,10,0,6,17.789733796296296
C,Water,29.804,-95.414,10,0,1,0.18222222222222217
C,Water,29.748,-95.409,10,0,0,0.12222222222222215
C,Solid Waste / Recycling,29.74,-95.383,10,2,4,33.05877314814815
C,Water,29.81,-95.404,10,0,0,0.09821759259259255
H,Water,29.821,-95.386,10,1,0,0.8771296296296296
H,Traffic Signals / Lighting,29.848,-95.343,10,0,0,0.0307581018518518
H,Traffic Signals / Lighting,29.814,-95.361,10,0,0,0.0033101851851851495
D,Solid Waste / Recycling,29.66,-95.358,10,2,4,32.86405092592592
K,Solid Waste / Recycling,29.635,-95.429,10,1,3,6.158819444444445
C,Solid Waste / Recycling,29.741,-95.413,10,3,2,4.337534722222222
D,Solid Waste / Recycling,29.613,-95.369,10,0,5,11.85359375
D,Solid Waste / Recycling,29.615,-95.335,10,0,7,25.313414351851854
K,Traffic Signals / Lighting,29.634,-95.457,10,0,0,0.7967013888888888
C,Solid Waste / Recycling,29.773,-95.409,10,6,2,7.5796875
C,Solid Waste / Recycling,29.837,-95.448,10,0,3,31.371649305555557
C,Solid Waste / Recycling,29.806,-95.42,10,8,2,51.96590277777777
C,Solid Waste / Recycling,29.782,-95.416,10,1,7,73.81730324074074
I,Water,29.822,-95.204,10,0,0,0.2532581018518518
K,Traffic Signals / Lighting,29.644,-95.539,10,0,0,0.010011574074074
C,Solid Waste / Recycling,29.752,-95.386,10,0,2,9.960989583333333
C,Solid Waste / Recycling,29.752,-95.398,10,0,2,4.1338541666666675
I,Road / Pothole / Bridge,29.752,-95.371,10,1,1,1.1450462962962964
A,Traffic Signals / Lighting,29.813,-95.617,10,2,0,0.02348958333333325
C,Water,29.743,-95.386,10,0,0,0.0613599537037037
C,Solid Waste / Recycling,29.747,-95.384,10,0,5,11.134542824074074
C,Solid Waste / Recycling,29.756,-95.392,10,2,1,2.542453703703704
C,Traffic Signals / Lighting,29.706,-95.405,10,3,3,10.567482638888889
I,Solid Waste / Recycling,29.729,-95.283,10,2,3,7.036747685185185
G,Road / Pothole / Bridge,29.748,-95.43,10,0,1,2.4189756944444447
B,Solid Waste / Recycling,29.809,-95.286,10,7,0,0.0061342592592592
K,Solid Waste / Recycling,29.595,-95.45,10,2,2,4.211354166666666
H,Solid Waste / Recycling,29.789,-95.381,10,0,3,10.887847222222224
H,Solid Waste / Recycling,29.781,-95.302,10,0,2,5.502118055555556
B,Traffic Signals / Lighting,29.807,-95.302,10,0,0,0.40273148148148147
E,Solid Waste / Recycling,29.559,-95.145,10,3,1,0.0475
C,Drainage / Flooding,29.759,-95.405,10,0,0,2.470462962962963
E,Solid Waste / Recycling,29.688,-95.243,10,1,2,4.421076388888889
H,Solid Waste / Recycling,29.801,-95.387,10,0,9,20.142528935185183
B,Solid Waste / Recycling,29.87,-95.285,10,0,7,28.536302083333332
J,Traffic Signals / Lighting,29.732,-95.49,10,1,0,0.020474537037037
B,Solid Waste / Recycling,29.861,-95.451,10,1,6,24.860694444444444
F,Water,29.724,-95.61,10,0,0,0.22276041666666666
H,Road / Pothole / Bridge,29.856,-95.365,10,1,1,1.4178993055555558
A,Solid Waste / Recycling,29.808,-95.51,10,2,5,55.596730324074066
H,Solid Waste / Recycling,29.751,-95.344,10,1,5,28.780821759259258
H,Road / Pothole / Bridge,29.827,-95.416,10,1,1,6.035636574074074
G,Solid Waste / Recycling,29.748,-95.415,10,3,6,24.82459490740741
H,Solid Waste / Recycling,29.742,-95.314,10,1,4,16.752175925925926
G,Water,29.739,-95.59,10,0,0,0.0013483796296296
A,Solid Waste / Recycling,29.887,-95.505,10,1,2,5.727106481481481
I,Solid Waste / Recycling,29.743,-95.338,10,0,2,5.011273148148148
K,Traffic Signals / Lighting,29.692,-95.417,10,0,0,0.4651157407407407
I,Solid Waste / Recycling,29.748,-95.353,10,0,0,5.587459490740741
B,Solid Waste / Recycling,29.838,-95.281,10,0,4,6.998773148148148
C,Solid Waste / Recycling,29.761,-95.422,10,1,1,0.8088773148148148
I,Water,29.738,-95.256,10,2,1,0.9245717592592593
C,Solid Waste / Recycling,29.779,-95.415,10,1,4,4.904699074074074
A,Road / Pothole / Bridge,29.85,-95.54,9,2,1,4.170555555555556
I,Traffic Signals / Lighting,29.742,-95.345,9,0,0,0.0519618055555555
I,Traffic Signals / Lighting,29.744,-95.301,9,1,0,3.2027199074074075
A,Solid Waste / Recycling,29.836,-95.531,9,1,3,14.429317129629627
C,Solid Waste / Recycling,29.759,-95.4,9,0,1,5.644780092592592
I,Solid Waste / Recycling,29.736,-95.296,9,1,3,2.0033101851851853
A,Traffic Signals / Lighting,29.785,-95.645,9,0,0,0.0251157407407407
I,Solid Waste / Recycling,29.743,-95.336,9,1,3,7.812384259259259
A,Solid Waste / Recycling,29.855,-95.495,9,0,3,2.615520833333333
G,Water,29.741,-95.647,9,0,0,0.0588773148148148
B,Solid Waste / Recycling,29.839,-95.265,9,0,1,6.00150462962963
B,Solid Waste / Recycling,29.839,-95.315,9,1,2,8.003796296296295
G,Water,29.749,-95.536,9,0,0,0.2508912037037037
A,Solid Waste / Recycling,29.811,-95.518,9,2,2,13.513975694444444
A,Solid Waste / Recycling,29.812,-95.45,9,4,1,4.178298611111111
K,Solid Waste / Recycling,29.583,-95.48,9,0,5,15.281655092592592
G,Traffic Signals / Lighting,29.737,-95.572,9,0,0,0.7983449074074074
G,Traffic Signals / Lighting,29.737,-95.56,9,0,0,1.4559722222222222
B,Solid Waste / Recycling,29.855,-95.249,9,0,1,7.221666666666667
B,Solid Waste / Recycling,29.854,-95.286,9,0,4,15.376412037037035
G,Solid Waste / Recycling,29.746,-95.45,9,2,1,12.411840277777777
G,Solid Waste / Recycling,29.774,-95.548,9,3,4,21.779409722222223
G,Solid Waste / Recycling,29.776,-95.55,9,1,1,7.015833333333333
G,Traffic Signals / Lighting,29.731,-95.459,9,0,0,0.0109837962962962
J,Water,29.723,-95.501,9,0,0,0.5015509259259259
B,Solid Waste / Recycling,29.834,-95.329,9,1,0,0.09071759259259256
G,Water,29.754,-95.611,9,1,0,0.026458333333333302
B,Solid Waste / Recycling,29.83,-95.28,9,1,1,2.7853935185185184
G,Water,29.766,-95.638,9,0,1,0.3776273148148148
H,Solid Waste / Recycling,29.744,-95.32,9,2,3,11.929386574074076
J,Traffic Signals / Lighting,29.725,-95.476,9,0,0,1.9916203703703705
F,Traffic Signals / Lighting,29.729,-95.52,9,0,0,0.0084143518518518
B,Solid Waste / Recycling,29.86,-95.445,9,0,3,9.934803240740742
F,Water,29.722,-95.62,9,0,0,0.1586921296296296
F,Water,29.73,-95.531,9,0,0,0.0875578703703703
B,Solid Waste / Recycling,29.856,-95.25,9,2,2,8.15962962962963
K,Solid Waste / Recycling,29.592,-95.451,9,0,3,7.653287037037037
F,Solid Waste / Recycling,29.728,-95.538,9,1,4,10.711359953703704
B,Solid Waste / Recycling,29.867,-95.436,9,2,3,21.841770833333335
F,Solid Waste / Recycling,29.731,-95.615,9,0,1,6.902638888888889
F,Traffic Signals / Lighting,29.724,-95.592,9,1,2,2.960983796296296
F,Traffic Signals / Lighting,29.728,-95.58,9,0,0,0.3765509259259259
H,Solid Waste / Recycling,29.769,-95.298,9,2,2,7.633333333333334
H,Solid Waste / Recycling,29.776,-95.352,9,0,4,15.996539351851853
H,Solid Waste / Recycling,29.778,-95.352,9,1,3,32.061915509259265
B,Solid Waste / Recycling,29.795,-95.313,9,1,4,13.41896412037037
B,Solid Waste / Recycling,29.791,-95.33,9,3,1,1.0140509259259258
J,Traffic Signals / Lighting,29.677,-95.528,9,0,0,0.0340509259259259
B,Solid Waste / Recycling,29.88,-95.428,9,1,2,9.186481481481481
F,Solid Waste / Recycling,29.663,-95.583,9,0,0,1.6316435185185183
F,Solid Waste / Recycling,29.671,-95.579,9,2,2,5.046996527777778
F,Solid Waste / Recycling,29.672,-95.607,9,0,2,7.100289351851852
F,Solid Waste / Recycling,29.699,-95.577,9,3,0,5.643373842592593
K,Solid Waste / Recycling,29.609,-95.429,9,2,6,66.6977199074074
J,Traffic Signals / Lighting,29.706,-95.485,9,0,0,0.8762268518518519
H,Solid Waste / Recycling,29.802,-95.388,9,0,6,19.67915509259259
H,Solid Waste / Recycling,29.804,-95.377,9,1,7,54.699641203703706
B,Solid Waste / Recycling,29.774,-95.337,9,2,3,21.252349537037034
B,Solid Waste / Recycling,29.775,-95.338,9,1,0,5.2631250000000005
B,Solid Waste / Recycling,29.775,-95.329,9,2,0,
H,Solid Waste / Recycling,29.813,-95.348,9,1,0,1.5146585648148148
H,Solid Waste / Recycling,29.831,-95.4,9,2,1,3.606521990740741
H,Solid Waste / Recycling,29.831,-95.399,9,2,6,14.585729166666669
J,Solid Waste / Recycling,29.733,-95.48,9,0,2,5.396365740740741
B,Traffic Signals / Lighting,29.876,-95.412,9,0,0,0.0075
K,Solid Waste / Recycling,29.616,-95.421,9,0,0,7.02921875
E,Traffic Signals / Lighting,29.572,-95.109,9,0,0,0.007824074074074
D,Solid Waste / Recycling,29.736,-95.361,9,0,3,5.944710648148148
C,Drainage / Flooding,29.781,-95.425,9,3,0,0.7505787037037037
D,Solid Waste / Recycling,29.749,-95.381,9,0,2,7.760549768518519
B,Water,29.959,-95.562,9,0,0,0.1331828703703703
H,Solid Waste / Recycling,29.833,-95.405,9,0,0,5.522268518518518
H,Solid Waste / Recycling,29.837,-95.416,9,1,5,29.88366898148148
B,Sewer / Wastewater,29.843,-95.31,9,0,0,0.0890277777777777
H,Solid Waste / Recycling,29.851,-95.374,9,7,0,11.776626157407406
H,Solid Waste / Recycling,29.853,-95.369,9,0,0,5.995532407407407
H,Solid Waste / Recycling,29.857,-95.399,9,1,1,4.472170138888889
H,Traffic Signals / Lighting,29.761,-95.364,9,0,0,0.7031018518518518
J,Solid Waste / Recycling,29.707,-95.479,9,1,0,6.353078703703703
D,Solid Waste / Recycling,29.671,-95.38,9,0,3,6.9209606481481485
C,Solid Waste / Recycling,29.673,-95.498,9,4,0,10.093223379629631
D,Solid Waste / Recycling,29.677,-95.343,9,1,4,13.370040509259258
D,Solid Waste / Recycling,29.679,-95.344,9,2,1,5.837505787037037
D,Solid Waste / Recycling,29.706,-95.371,9,0,2,5.371828703703704
D,Solid Waste / Recycling,29.723,-95.385,9,0,1,6.222893518518519
D,Solid Waste / Recycling,29.734,-95.363,9,2,3,10.941898148148148
D,Solid Waste / Recycling,29.735,-95.36,9,0,3,7.862048611111111
C,Road / Pothole / Bridge,29.726,-95.418,9,1,3,6.869299768518519
C,Road / Pothole / Bridge,29.734,-95.413,9,1,2,6.485422453703705
D,Solid Waste / Recycling,29.636,-95.315,9,0,8,17.97246527777778
D,Solid Waste / Recycling,29.637,-95.316,9,0,4,12.833252314814814
D,Solid Waste / Recycling,29.638,-95.354,9,3,2,21.015671296296297
H,Water,29.755,-95.331,9,0,0,0.0919618055555555
H,Water,29.759,-95.34,9,0,1,0.0663888888888888
H,Water,29.888,-95.409,9,0,0,0.0514930555555555
C,Water,29.766,-95.413,9,0,1,0.8055208333333334
C,Solid Waste / Recycling,29.744,-95.382,9,0,0,2.797366898148148
D,Solid Waste / Recycling,29.586,-95.227,9,0,2,4.817210648148148
C,Solid Waste / Recycling,29.737,-95.405,9,1,3,7.587696759259259
D,Solid Waste / Recycling,29.615,-95.336,9,0,3,13.942314814814814
K,Solid Waste / Recycling,29.681,-95.437,9,1,3,4.731111111111111
C,Solid Waste / Recycling,29.75,-95.387,9,2,1,5.127881944444445
C,Solid Waste / Recycling,29.751,-95.406,9,1,1,4.258958333333333
C,Solid Waste / Recycling,29.749,-95.397,9,0,1,5.382129629629629
C,Solid Waste / Recycling,29.748,-95.4,9,2,2,5.959247685185185
C,Water,29.742,-95.39,9,0,1,0.0970138888888888
A,Water,29.845,-95.474,9,0,0,0.0676388888888888
I,Solid Waste / Recycling,29.678,-95.26,9,3,1,7.930127314814815
I,Water,29.821,-95.204,9,0,0,0.19796874999999997
A,Traffic Signals / Lighting,29.807,-95.524,9,0,0,0.0027893518518518
C,Traffic Signals / Lighting,29.771,-95.409,9,0,2,0.637662037037037
C,Solid Waste / Recycling,29.752,-95.395,9,2,2,11.86810185185185
C,Traffic Signals / Lighting,29.803,-95.404,9,1,1,3.150462962962963
C,Traffic Signals / Lighting,29.804,-95.429,9,0,4,0.9714814814814816
C,Traffic Signals / Lighting,29.804,-95.412,9,3,1,1.600341435185185
K,Water,29.641,-95.486,9,0,1,0.07126157407407405
A,Road / Pothole / Bridge,29.813,-95.639,9,0,0,1.631886574074074
C,Traffic Signals / Lighting,29.726,-95.419,9,1,0,0.0307407407407407
C,Traffic Signals / Lighting,29.727,-95.452,9,0,0,0.2046180555555555
I,Solid Waste / Recycling,29.73,-95.286,9,0,0,2.755821759259259
I,Solid Waste / Recycling,29.736,-95.326,9,3,4,55.109409722222225
C,Solid Waste / Recycling,29.804,-95.413,9,0,1,3.166724537037037
C,Solid Waste / Recycling,29.772,-95.407,9,5,1,8.171001157407407
C,Solid Waste / Recycling,29.832,-95.468,9,0,1,6.039224537037038
C,Solid Waste / Recycling,29.767,-95.403,9,0,7,32.99896990740741
C,Solid Waste / Recycling,29.765,-95.416,9,2,2,7.621516203703703
C,Solid Waste / Recycling,29.766,-95.409,9,2,3,25.82100115740741
C,Solid Waste / Recycling,29.84,-95.466,9,0,4,11.914710648148148
C,Solid Waste / Recycling,29.799,-95.43,9,2,1,3.48224537037037
I,Solid Waste / Recycling,29.809,-95.238,9,1,0,6.576984953703704
C,Solid Waste / Recycling,29.781,-95.426,9,3,3,25.793865740740745
I,Traffic Signals / Lighting,29.652,-95.252,9,3,0,0.0195254629629629
